"name","value","created_at"
price_usd,0.09546,2024-09-22 22:30:02.000
volume_24h,43505199.6812,2024-09-22 22:30:02.000
market_cap_dominance,0.1293,2024-09-22 22:30:02.000
market_cap,2825253112.6902,2024-09-22 22:30:02.000
circulating_supply,29595286522.013,2024-09-22 22:30:02.000
rank,33.0,2024-09-22 22:30:02.000
price_usd,0.09577,2024-09-22 22:40:00.000
volume_24h,43672768.5989,2024-09-22 22:40:00.000
market_cap_dominance,0.1294,2024-09-22 22:40:00.000
market_cap,2834304869.5339,2024-09-22 22:40:00.000
circulating_supply,29595286461.957,2024-09-22 22:40:00.000
rank,33.0,2024-09-22 22:40:00.000
price_usd,0.09618,2024-09-22 22:50:01.000
volume_24h,44590271.9765,2024-09-22 22:50:01.000
market_cap_dominance,0.1287,2024-09-22 22:50:01.000
market_cap,2846431347.1775,2024-09-22 22:50:01.000
circulating_supply,29595286461.957,2024-09-22 22:50:01.000
rank,33.0,2024-09-22 22:50:01.000
price_usd,0.09644,2024-09-22 23:00:02.000
volume_24h,44985895.6952,2024-09-22 23:00:02.000
market_cap_dominance,0.1286,2024-09-22 23:00:02.000
market_cap,2854103920.9559,2024-09-22 23:00:02.000
circulating_supply,29595286461.957,2024-09-22 23:00:02.000
rank,33.0,2024-09-22 23:00:02.000
price_usd,0.09632,2024-09-22 23:10:00.000
volume_24h,45074533.8415,2024-09-22 23:10:00.000
market_cap_dominance,0.1283,2024-09-22 23:10:00.000
market_cap,2850689330.656,2024-09-22 23:10:00.000
circulating_supply,29595286461.957,2024-09-22 23:10:00.000
rank,33.0,2024-09-22 23:10:00.000
price_usd,0.09604,2024-09-22 23:20:01.000
volume_24h,45371761.5927,2024-09-22 23:20:01.000
market_cap_dominance,0.1285,2024-09-22 23:20:01.000
market_cap,2842332277.239,2024-09-22 23:20:01.000
circulating_supply,29595286425.764,2024-09-22 23:20:01.000
rank,33.0,2024-09-22 23:20:01.000
price_usd,0.09599,2024-09-22 23:30:01.000
volume_24h,45370635.1602,2024-09-22 23:30:01.000
market_cap_dominance,0.1284,2024-09-22 23:30:01.000
market_cap,2840949551,2024-09-22 23:30:01.000
circulating_supply,29595286425.764,2024-09-22 23:30:01.000
rank,33.0,2024-09-22 23:30:01.000
price_usd,0.09605,2024-09-22 23:40:01.000
volume_24h,45364205.4286,2024-09-22 23:40:01.000
market_cap_dominance,0.1287,2024-09-22 23:40:01.000
market_cap,2842537511.0214,2024-09-22 23:40:01.000
circulating_supply,29595286422.723,2024-09-22 23:40:01.000
rank,33.0,2024-09-22 23:40:01.000
price_usd,0.09616,2024-09-22 23:50:01.000
volume_24h,45379794.5649,2024-09-22 23:50:01.000
market_cap_dominance,0.1286,2024-09-22 23:50:01.000
market_cap,2845879501.8633,2024-09-22 23:50:01.000
circulating_supply,29595286422.723,2024-09-22 23:50:01.000
rank,33.0,2024-09-22 23:50:01.000
price_usd,0.09604,2024-09-23 00:00:06.000
volume_24h,45275740.1349,2024-09-23 00:00:06.000
